election_id,election_date,cycle_role,precinct_snapshot_id,precinct_status,senate_plan_id,house_regular_contest_scope,senate_regular_contest_scope,population_pairing_status,notes
pa_general_1990,1990-11-06,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1981_plan,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_1992,1992-11-03,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1991_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_1994,1994-11-08,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1991_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_1996,1996-11-05,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1991_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_1998,1998-11-03,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1991_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2000,2000-11-07,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_1991_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2002,2002-11-05,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2004,2004-11-02,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2006,2006-11-07,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2008,2008-11-04,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2010,2010-11-02,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2012,2012-11-06,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2001_final,all_house_districts,odd_numbered_senate_districts,research,Prior plan remained in force after Pennsylvania Supreme Court rejected initial post-2010 plan
pa_general_2014,2014-11-04,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2012_revised_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2016,2016-11-08,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2012_revised_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2018,2018-11-06,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2012_revised_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2020,2020-11-03,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2012_revised_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2022,2022-11-08,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2021_final,all_house_districts,even_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2024,2024-11-05,historical_training,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2021_final,all_house_districts,odd_numbered_senate_districts,research,Counterfactual fixed precinct geography; period Senate plan
pa_general_2026,2026-11-03,current_prediction_target,pa_lrc_2021_release_1b_geography,fixed_poc_baseline,pa_senate_2021_final,all_house_districts,even_numbered_senate_districts,research,Fixed POC precinct target; not the actual 2026 precinct snapshot
