pairing_id,election_id,election_date,cycle_role,cutoff_policy,cutoff_date,fixed_precinct_snapshot_id,senate_plan_id,product_id,product_family,reference_start,reference_end,release_date_published,release_date_precision,release_date_earliest,release_date_latest,metric,source_geography_id,population_universe,product_processing_status,allocation_readiness,accepted_method_id,reference_period_complete_by_cutoff,availability_by_cutoff,exact_release_days_before_cutoff,candidate_for_poc016,availability_notes
pa_general_1990__acs5_2009,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2009,ACS 5-year detailed tables,2005-01-01,2009-12-31,2010-12-14,exact_day,2010-12-14,2010-12-14,B01003_001E/B01003_001M,acs5_2009_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-7343,false,
pa_general_1990__acs5_2010,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2010,ACS 5-year detailed tables,2006-01-01,2010-12-31,2011-12-08,exact_day,2011-12-08,2011-12-08,B01003_001E/B01003_001M,acs5_2010_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-7702,false,
pa_general_1990__acs5_2011,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2011,ACS 5-year detailed tables,2007-01-01,2011-12-31,2012-12-06,exact_day,2012-12-06,2012-12-06,B01003_001E/B01003_001M,acs5_2011_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-8066,false,
pa_general_1990__acs5_2012,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2012,ACS 5-year detailed tables,2008-01-01,2012-12-31,2013-12-17,exact_day,2013-12-17,2013-12-17,B01003_001E/B01003_001M,acs5_2012_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-8442,false,
pa_general_1990__acs5_2013,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2013,ACS 5-year detailed tables,2009-01-01,2013-12-31,2014-12-04,exact_day,2014-12-04,2014-12-04,B01003_001E/B01003_001M,acs5_2013_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-8794,false,
pa_general_1990__acs5_2014,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2014,ACS 5-year detailed tables,2010-01-01,2014-12-31,2015-12-03,exact_day,2015-12-03,2015-12-03,B01003_001E/B01003_001M,acs5_2014_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-9158,false,
pa_general_1990__acs5_2015,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2015,ACS 5-year detailed tables,2011-01-01,2015-12-31,2016-12-08,exact_day,2016-12-08,2016-12-08,B01003_001E/B01003_001M,acs5_2015_block_group,total_population,inventoried,representative_statewide_method_proven,census2010_population_atomic_acs5_2015_v1,false,not_available,-9529,false,
pa_general_1990__acs5_2016,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2016,ACS 5-year detailed tables,2012-01-01,2016-12-31,2017-12-07,exact_day,2017-12-07,2017-12-07,B01003_001E/B01003_001M,acs5_2016_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-9893,false,
pa_general_1990__acs5_2017,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2017,ACS 5-year detailed tables,2013-01-01,2017-12-31,2018-12-06,exact_day,2018-12-06,2018-12-06,B01003_001E/B01003_001M,acs5_2017_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10257,false,
pa_general_1990__acs5_2018,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2018,ACS 5-year detailed tables,2014-01-01,2018-12-31,2019-12-19,exact_day,2019-12-19,2019-12-19,B01003_001E/B01003_001M,acs5_2018_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10635,false,
pa_general_1990__acs5_2019,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2019,ACS 5-year detailed tables,2015-01-01,2019-12-31,2020-12-10,exact_day,2020-12-10,2020-12-10,B01003_001E/B01003_001M,acs5_2019_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10992,false,
pa_general_1990__acs5_2020,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2020,ACS 5-year detailed tables,2016-01-01,2020-12-31,2022-03-17,exact_day,2022-03-17,2022-03-17,B01003_001E/B01003_001M,acs5_2020_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-11454,false,
pa_general_1990__acs5_2021,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2021,ACS 5-year detailed tables,2017-01-01,2021-12-31,2022-12-08,exact_day,2022-12-08,2022-12-08,B01003_001E/B01003_001M,acs5_2021_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-11720,false,
pa_general_1990__acs5_2022,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2022,ACS 5-year detailed tables,2018-01-01,2022-12-31,2023-12-07,exact_day,2023-12-07,2023-12-07,B01003_001E/B01003_001M,acs5_2022_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-12084,false,
pa_general_1990__acs5_2023,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2023,ACS 5-year detailed tables,2019-01-01,2023-12-31,2024-12-12,exact_day,2024-12-12,2024-12-12,B01003_001E/B01003_001M,acs5_2023_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-12455,false,
pa_general_1990__acs5_2024,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,acs5_2024,ACS 5-year detailed tables,2020-01-01,2024-12-31,2026-01-29,exact_day,2026-01-29,2026-01-29,B01003_001E/B01003_001M,acs5_2024_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-12868,false,
pa_general_1990__dec_1990,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,year_only,1991-01-01,1991-12-31,total_population,census_block,standard_total_population,statewide_proven,statewide_result_proven,relationship_tiger_face_area_1990_v1,true,not_available,,false,exact Pennsylvania release day unresolved; year bounds still classify this cutoff
pa_general_1990__dec_2000,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,dec_2000,Census 2000 PL 94-171,2000-04-01,2000-04-01,2001-03-09,exact_day,2001-03-09,2001-03-09,P0010001/PL001001,census_block,standard_total_population,statewide_proven,statewide_result_proven,relationship_atomic_area_2000_v1,false,not_available,-3776,false,
pa_general_1990__dec_2010,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,dec_2010,2010 Census PL 94-171,2010-04-01,2010-04-01,2011-03-09,exact_day,2011-03-09,2011-03-09,P0010001,census_block,standard_total_population,statewide_proven,statewide_result_proven,relationship_atomic_area_2010_v1,false,not_available,-7428,false,
pa_general_1990__dec_2020,pa_general_1990,1990-11-06,historical_training,general_election_day,1990-11-06,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,dec_2020,2020 Census PL 94-171,2020-04-01,2020-04-01,2021-08-12,exact_day,2021-08-12,2021-08-12,P0010001,census_block,standard_total_population,statewide_proven,statewide_result_proven,lrc_published_split_v1,false,not_available,-11237,false,
pa_general_1992__acs5_2009,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2009,ACS 5-year detailed tables,2005-01-01,2009-12-31,2010-12-14,exact_day,2010-12-14,2010-12-14,B01003_001E/B01003_001M,acs5_2009_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-6615,false,
pa_general_1992__acs5_2010,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2010,ACS 5-year detailed tables,2006-01-01,2010-12-31,2011-12-08,exact_day,2011-12-08,2011-12-08,B01003_001E/B01003_001M,acs5_2010_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-6974,false,
pa_general_1992__acs5_2011,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2011,ACS 5-year detailed tables,2007-01-01,2011-12-31,2012-12-06,exact_day,2012-12-06,2012-12-06,B01003_001E/B01003_001M,acs5_2011_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-7338,false,
pa_general_1992__acs5_2012,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2012,ACS 5-year detailed tables,2008-01-01,2012-12-31,2013-12-17,exact_day,2013-12-17,2013-12-17,B01003_001E/B01003_001M,acs5_2012_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-7714,false,
pa_general_1992__acs5_2013,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2013,ACS 5-year detailed tables,2009-01-01,2013-12-31,2014-12-04,exact_day,2014-12-04,2014-12-04,B01003_001E/B01003_001M,acs5_2013_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-8066,false,
pa_general_1992__acs5_2014,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2014,ACS 5-year detailed tables,2010-01-01,2014-12-31,2015-12-03,exact_day,2015-12-03,2015-12-03,B01003_001E/B01003_001M,acs5_2014_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-8430,false,
pa_general_1992__acs5_2015,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2015,ACS 5-year detailed tables,2011-01-01,2015-12-31,2016-12-08,exact_day,2016-12-08,2016-12-08,B01003_001E/B01003_001M,acs5_2015_block_group,total_population,inventoried,representative_statewide_method_proven,census2010_population_atomic_acs5_2015_v1,false,not_available,-8801,false,
pa_general_1992__acs5_2016,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2016,ACS 5-year detailed tables,2012-01-01,2016-12-31,2017-12-07,exact_day,2017-12-07,2017-12-07,B01003_001E/B01003_001M,acs5_2016_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-9165,false,
pa_general_1992__acs5_2017,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2017,ACS 5-year detailed tables,2013-01-01,2017-12-31,2018-12-06,exact_day,2018-12-06,2018-12-06,B01003_001E/B01003_001M,acs5_2017_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-9529,false,
pa_general_1992__acs5_2018,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2018,ACS 5-year detailed tables,2014-01-01,2018-12-31,2019-12-19,exact_day,2019-12-19,2019-12-19,B01003_001E/B01003_001M,acs5_2018_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-9907,false,
pa_general_1992__acs5_2019,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2019,ACS 5-year detailed tables,2015-01-01,2019-12-31,2020-12-10,exact_day,2020-12-10,2020-12-10,B01003_001E/B01003_001M,acs5_2019_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10264,false,
pa_general_1992__acs5_2020,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2020,ACS 5-year detailed tables,2016-01-01,2020-12-31,2022-03-17,exact_day,2022-03-17,2022-03-17,B01003_001E/B01003_001M,acs5_2020_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10726,false,
pa_general_1992__acs5_2021,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2021,ACS 5-year detailed tables,2017-01-01,2021-12-31,2022-12-08,exact_day,2022-12-08,2022-12-08,B01003_001E/B01003_001M,acs5_2021_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-10992,false,
pa_general_1992__acs5_2022,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2022,ACS 5-year detailed tables,2018-01-01,2022-12-31,2023-12-07,exact_day,2023-12-07,2023-12-07,B01003_001E/B01003_001M,acs5_2022_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-11356,false,
pa_general_1992__acs5_2023,pa_general_1992,1992-11-03,historical_training,general_election_day,1992-11-03,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,acs5_2023,ACS 5-year detailed tables,2019-01-01,2023-12-31,2024-12-12,exact_day,2024-12-12,2024-12-12,B01003_001E/B01003_001M,acs5_2023_block_group,total_population,inventoried,inventory_only_requires_poc016_support_selection,,false,not_available,-11727,false,
