pairing_id,execution_status,election_id,election_date,cutoff_policy,fixed_precinct_snapshot_id,senate_plan_id,population_product_id,population_product_family,population_reference_start,population_reference_end,population_release_date,population_input_id,population_input_manifest_path,population_input_manifest_selector,crosswalk_id,crosswalk_path,crosswalk_logical_sha256,crosswalk_method_id,crosswalk_allocation_rows,nearest_assignment_count,fixed_precinct_result_path,fixed_precinct_result_logical_sha256,senate_result_path,senate_result_logical_sha256,result_partition_key,qa_report_path,known_limitation
pa_general_1990__no_available_product,no_product_available_by_cutoff,pa_general_1990,1990-11-06,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1981_plan,,,,,,,,,,,,,,,,,,,,,No cataloged Census/ACS population product was released by the 1990 general-election cutoff; no post-election substitution or interpolation is made.
pa_general_1992__dec_1990,executed_available_pairing,pa_general_1992,1992-11-03,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__1991_final__v1,data/processed/poc016/crosswalks/dec_1990__1991_final__v1.parquet,06e3e1bce8e0841416eb62a7eb9b759892c5829b2b34a0a8d5a86f1b4c476702,relationship_tiger_face_area_1990_v1,510885.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_1991_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_1994__dec_1990,executed_available_pairing,pa_general_1994,1994-11-08,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__1991_final__v1,data/processed/poc016/crosswalks/dec_1990__1991_final__v1.parquet,06e3e1bce8e0841416eb62a7eb9b759892c5829b2b34a0a8d5a86f1b4c476702,relationship_tiger_face_area_1990_v1,510885.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_1991_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_1996__dec_1990,executed_available_pairing,pa_general_1996,1996-11-05,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__1991_final__v1,data/processed/poc016/crosswalks/dec_1990__1991_final__v1.parquet,06e3e1bce8e0841416eb62a7eb9b759892c5829b2b34a0a8d5a86f1b4c476702,relationship_tiger_face_area_1990_v1,510885.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_1991_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_1998__dec_1990,executed_available_pairing,pa_general_1998,1998-11-03,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__1991_final__v1,data/processed/poc016/crosswalks/dec_1990__1991_final__v1.parquet,06e3e1bce8e0841416eb62a7eb9b759892c5829b2b34a0a8d5a86f1b4c476702,relationship_tiger_face_area_1990_v1,510885.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_1991_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_2000__dec_1990,executed_available_pairing,pa_general_2000,2000-11-07,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_1991_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__1991_final__v1,data/processed/poc016/crosswalks/dec_1990__1991_final__v1.parquet,06e3e1bce8e0841416eb62a7eb9b759892c5829b2b34a0a8d5a86f1b4c476702,relationship_tiger_face_area_1990_v1,510885.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_1991_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_2002__dec_1990,executed_available_pairing,pa_general_2002,2002-11-05,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_2001_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__2001_final__v1,data/processed/poc016/crosswalks/dec_1990__2001_final__v1.parquet,bde782d7d3a575936316828716b4eef06b077133cb68e6bed510e54e6398836d,relationship_tiger_face_area_1990_v1,511998.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_2001_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_2002__dec_2000,executed_available_pairing,pa_general_2002,2002-11-05,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_2001_final,dec_2000,Census 2000 PL 94-171,2000-04-01,2000-04-01,2001-03-09,census_block,artifacts/poc012/input_manifest.json,dec_2000,dec_2000__2001_final__v1,data/processed/poc016/crosswalks/dec_2000__2001_final__v1.parquet,b954449f99f2a023572d5564125bf57cf52fe4a7acf43657bf2d34a39204158d,relationship_atomic_area_2000_v1,525636.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_2000__pa_senate_2001_final,artifacts/poc016/qa_results.json,Geometry-only relationship/atomic-area allocation; area is not observed within-block population.
pa_general_2004__dec_1990,executed_available_pairing,pa_general_2004,2004-11-02,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_2001_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__2001_final__v1,data/processed/poc016/crosswalks/dec_1990__2001_final__v1.parquet,bde782d7d3a575936316828716b4eef06b077133cb68e6bed510e54e6398836d,relationship_tiger_face_area_1990_v1,511998.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_2001_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
pa_general_2004__dec_2000,executed_available_pairing,pa_general_2004,2004-11-02,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_2001_final,dec_2000,Census 2000 PL 94-171,2000-04-01,2000-04-01,2001-03-09,census_block,artifacts/poc012/input_manifest.json,dec_2000,dec_2000__2001_final__v1,data/processed/poc016/crosswalks/dec_2000__2001_final__v1.parquet,b954449f99f2a023572d5564125bf57cf52fe4a7acf43657bf2d34a39204158d,relationship_atomic_area_2000_v1,525636.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_2000__pa_senate_2001_final,artifacts/poc016/qa_results.json,Geometry-only relationship/atomic-area allocation; area is not observed within-block population.
pa_general_2006__dec_1990,executed_available_pairing,pa_general_2006,2006-11-07,general_election_day,pa_lrc_2021_release_1b_geography,pa_senate_2001_final,dec_1990,1990 Census STF 1B POP100,1990-04-01,1990-04-01,1991,census_block,artifacts/poc013/input_manifest.json,dec_1990,dec_1990__2001_final__v1,data/processed/poc016/crosswalks/dec_1990__2001_final__v1.parquet,bde782d7d3a575936316828716b4eef06b077133cb68e6bed510e54e6398836d,relationship_tiger_face_area_1990_v1,511998.0,0.0,data/processed/poc016/fixed_precinct_population_products_v1.parquet,7fb71ee710f2b6c3251e976cca5da1963fb96d05274088359b10e64ade8d3467,data/processed/poc016/senate_population_products_v1.parquet,03c29b4ab42eb48971fcdd6f3dbffad47a3ad8f72d032036bbbfd3f75b6647d2,dec_1990__pa_senate_2001_final,artifacts/poc016/qa_results.json,Geometry-only same-topology TIGER face area allocation; official relationship files contain pairs but no weights.
