county_fips,county_name,resolution_status,authority_name,authority_url,boundary_source_id,boundary_source_url,producer,product,reference_vintage,effective_date,as_of_date,retrieval_timestamp,sha256,license_access,crs,schema_status,expected_precinct_count,house_assignment_status,senate_assignment_status,contest_eligibility_status,cutoff_status,reviewed_at,review_notes
001,Adams,unreviewed,Adams County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
003,Allegheny,candidate,Allegheny County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_allegheny_voting_districts_202607_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/AlleghenyCounty/MapServer/28/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Allegheny County via PASDA,Allegheny County Voting Districts 202607,,,2026-08-29,2026-08-29T23:35:13+00:00,4bd5bfc9de81ff5765fb0cdcf77c16bdaa6fa57e59e90140d2e4637f88ef0b64,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,1327,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 1327 valid polygon features; 202607 is a layer label and not proof of election-effective vintage
005,Armstrong,unreviewed,Armstrong County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
007,Beaver,unreviewed,Beaver County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
009,Bedford,unreviewed,Bedford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
011,Berks,candidate,Berks County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_berks_precincts_202505_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/BerksCounty/MapServer/3/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Berks County GIS and Elections Services via PASDA,Berks County - Precincts 202505,,,2026-08-29,2026-08-29T23:35:11+00:00,aa76c9c6f83767e37e06212c8a8ba0f53155850c443f2c403475d55190019979,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,205,candidate,candidate,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 205 valid polygons and explicit PAHOUSE_ID and PASEN_ID fields; 202505 label is not election-effective proof
013,Blair,unreviewed,Blair County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
015,Bradford,unreviewed,Bradford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
017,Bucks,candidate,Bucks County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_bucks_voting_precincts_202405_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/BucksCounty/MapServer/1/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID&f=geojson,Bucks County via PASDA,Bucks County - Voting Precincts 202405,,,2026-08-29,2026-08-29T23:35:12+00:00,bf10177de9209c6537ab7b1dd3caec6dd404e769ed4898b3432e4f120d0b22da,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,304,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; one invalid polygon requires typed repair review; 202405 label is not election-effective proof
019,Butler,unreviewed,Butler County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
021,Cambria,unreviewed,Cambria County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
023,Cameron,unreviewed,Cameron County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
025,Carbon,unreviewed,Carbon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
027,Centre,candidate,Centre County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,pasda_centre_voting_precincts_202601_2026_08_29,https://maps.pasda.psu.edu/ArcGIS/rest/services/pasda/CentreCounty/MapServer/15/query?where=1%3D1&outFields=*&returnGeometry=true&outSR=4269&orderByFields=OBJECTID_1&f=geojson,Centre County via PASDA,Centre County - Voting Precincts 202601,,,2026-08-29,2026-08-29T23:35:10+00:00,a5753029c9b1e836409973f95f9b38e38a234ee25ff99fc58dbd1e79799136cb,Public PASDA service; redistribution terms require review,EPSG:4269,profiled,92,unreviewed,unreviewed,unreviewed,pending,2026-08-29,Checksum-frozen county-origin PASDA candidate; 92 valid polygons; feature count differs from the 2021 LRC baseline and requires identifier/change evidence
029,Chester,unreviewed,Chester County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
031,Clarion,unreviewed,Clarion County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
033,Clearfield,unreviewed,Clearfield County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
035,Clinton,unreviewed,Clinton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
037,Columbia,unreviewed,Columbia County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
