product_id,estimate_year,period_start,period_end,release_date,product_family,source_geography,source_geography_id,estimate_variable,moe_variable,population_universe,api_dataset_url,variables_metadata_url,variables_metadata_sha256,geography_metadata_url,geography_metadata_sha256,api_block_group_supported,primary_access_route,summary_file_url,api_key_requirement,release_source_url,availability_status,processing_status,notes
acs5_2009,2009,2005-01-01,2009-12-31,2010-12-14,ACS 5-year detailed tables,census_block_group,acs5_2009_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2009/acs/acs5,https://api.census.gov/data/2009/acs/acs5/groups/B01003.json,6f8487170fee4a133a8d13d64a244695dabc6e781c26539e43a2da75897facd7,https://api.census.gov/data/2009/acs/acs5/geography.json,172f36890851c3c235e7541531958f7ee7e9510be7d141afe1735300735f5776,false,official_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2009/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2009/release.html,available,inventoried,First ACS five-year product; API geography manifest omits block groups
acs5_2010,2010,2006-01-01,2010-12-31,2011-12-08,ACS 5-year detailed tables,census_block_group,acs5_2010_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2010/acs/acs5,https://api.census.gov/data/2010/acs/acs5/groups/B01003.json,08351887096622b406ed5c92271e5128c0b7ad5203131b9ed0213b0630491971,https://api.census.gov/data/2010/acs/acs5/geography.json,94c6397e9ac83d2bad7fbddf31e3a0b34dce2e7ef9a01c70ae71533128001860,false,official_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2010/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2010/release.html,available,inventoried,API geography manifest omits block groups
acs5_2011,2011,2007-01-01,2011-12-31,2012-12-06,ACS 5-year detailed tables,census_block_group,acs5_2011_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2011/acs/acs5,https://api.census.gov/data/2011/acs/acs5/groups/B01003.json,811dc61a43957b8ef5a5a5dde97debdbc99634e83116595cf8dcf6e3c9c9a594,https://api.census.gov/data/2011/acs/acs5/geography.json,851260a0b25ccf96126d986ffc0af6529bbd357353b20dc93fa4262b59cba159,false,official_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2011/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2011/release.html,available,inventoried,API geography manifest omits block groups
acs5_2012,2012,2008-01-01,2012-12-31,2013-12-17,ACS 5-year detailed tables,census_block_group,acs5_2012_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2012/acs/acs5,https://api.census.gov/data/2012/acs/acs5/groups/B01003.json,3e493f9a13850a82c0b78a2f89c19ff992a12ab2b1825d9520e22ab31ea3436e,https://api.census.gov/data/2012/acs/acs5/geography.json,977bd5c1c91dcdc67c8c60062ee74a96de0b9ed72a7e0b8af680f40271fa2e13,false,official_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2012/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2012/release.html,available,inventoried,API geography manifest omits block groups
acs5_2013,2013,2009-01-01,2013-12-31,2014-12-04,ACS 5-year detailed tables,census_block_group,acs5_2013_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2013/acs/acs5,https://api.census.gov/data/2013/acs/acs5/groups/B01003.json,dc956b37cdd210db920bb8713d18aaf7c951d6a1825cf373fc7e4e8f8d81e14e,https://api.census.gov/data/2013/acs/acs5/geography.json,74bdffae0771057f01260950111a38a04e159341b9e7f26957acbfce9327bbe1,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2013/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2013/release.html,available,inventoried,First inventory vintage whose API geography manifest exposes block groups
acs5_2014,2014,2010-01-01,2014-12-31,2015-12-03,ACS 5-year detailed tables,census_block_group,acs5_2014_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2014/acs/acs5,https://api.census.gov/data/2014/acs/acs5/groups/B01003.json,1210470776793e2a9968acdb83c7e4e33b7e2bed53659af7a26789b9f49fa37c,https://api.census.gov/data/2014/acs/acs5/geography.json,8f1b5dd87f78fd2690cf459850aee29f6bff91bfdcf8f78ea9ddd35973d8ff19,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2014/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2014/release.html,available,inventoried,
acs5_2015,2015,2011-01-01,2015-12-31,2016-12-08,ACS 5-year detailed tables,census_block_group,acs5_2015_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2015/acs/acs5,https://api.census.gov/data/2015/acs/acs5/groups/B01003.json,ac2c1541e8657e936804732acbf5a3e178f24f8dad073451cdf4d85a3a5e8522,https://api.census.gov/data/2015/acs/acs5/geography.json,367a16673e8379674625962636b033f1bc9a1b9bc17ac26676bb72ed1a812f57,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2015/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2015/release.html,available,inventoried,Mid-decade candidate previously named mid_2010s
acs5_2016,2016,2012-01-01,2016-12-31,2017-12-07,ACS 5-year detailed tables,census_block_group,acs5_2016_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2016/acs/acs5,https://api.census.gov/data/2016/acs/acs5/groups/B01003.json,8fa01df6046ed9df1c49b73aa0f6e177332c6fa8fc27d8247efd5d652f964470,https://api.census.gov/data/2016/acs/acs5/geography.json,2c9dfb042553c631878f9db5ab87c8bc1259a6b3a0db8dff50227e3e9128bcbe,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2016/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2016/release.html,available,inventoried,
acs5_2017,2017,2013-01-01,2017-12-31,2018-12-06,ACS 5-year detailed tables,census_block_group,acs5_2017_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2017/acs/acs5,https://api.census.gov/data/2017/acs/acs5/groups/B01003.json,20096781ef01fbc3cf5264210ecd6574f3e4cec4c4a3be807ae67c37217c904e,https://api.census.gov/data/2017/acs/acs5/geography.json,2e25d1e7f6fad53e97c2f7ebacbfec059fdd975799d8a2f293c23a591c9ffd3b,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2017/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2017/release.html,available,inventoried,
acs5_2018,2018,2014-01-01,2018-12-31,2019-12-19,ACS 5-year detailed tables,census_block_group,acs5_2018_block_group,B01003_001E,B01003_001M,total_population,https://api.census.gov/data/2018/acs/acs5,https://api.census.gov/data/2018/acs/acs5/groups/B01003.json,7b82667f701f229db97d14ec5543a78802dc7b1ed10bc3fc3f116ff752a8b160,https://api.census.gov/data/2018/acs/acs5/geography.json,f8db6c718fc80324173c17a2abff83456e428f81b96642d777d7983cd6fb1ed5,true,census_data_api_or_summary_file,https://www2.census.gov/programs-surveys/acs/summary_file/2018/,required_for_data_queries_as_of_2026-08-29,https://www.census.gov/programs-surveys/acs/news/data-releases/2018/release.html,available,inventoried,
