definition_id,task_group,metric_family,source_products,source_table,universe,source_grain,estimate_expression,moe_expression,additive_output_categories,transform,category_bridge,support_candidate,release_cutoff,plan_applicability,status,aggregation_note
vap_dec_1990,POC035,voting_age_population,dec_1990_pl94,P003,Persons 18 years and over,1990 Census block,P003_0001+P003_0002+P003_0003+P003_0004+P003_0005,RSS(M counterparts),vap,exact_sum_of_published_race_cells,none,1990 block/plan equal-area intersection unless metric-specific sub-block support is found,1991-03-08 conservative latest statewide delivery bound,release before election and plan effective for election,inventory_frozen,1990 publishes mutually exclusive race cells but no P003 total cell; summation does not recover microdata
vap_dec_2000,POC035,voting_age_population,dec_2000,PL003,Population 18 years and over,2000 Census block,PL003001,not_applicable_exact_decennial_count,vap,direct_published_aggregate,none,2000 block/plan equal-area intersection for split blocks,2001-03-09,inherit legislative_population_partitions_v1.csv,inventory_frozen,Select the published table total; do not sum its race descendants
vap_dec_2010,POC035,voting_age_population,dec_2010,P3,Population 18 years and over,2010 Census block,P0030001,not_applicable_exact_decennial_count,vap,direct_published_aggregate,none,2010 block/plan equal-area intersection for split blocks,2011-03-09,inherit legislative_population_partitions_v1.csv,inventory_frozen,Select the published table total; do not relabel P001 weights
vap_dec_2020,POC035,voting_age_population,dec_2020,P3,Population 18 years and over,2020 Census block,P0030001,not_applicable_exact_decennial_count,vap,direct_published_aggregate,none,lrc_fragment_p003_vap_direct_legislative_v1,2021-08-12,inherit legislative_population_partitions_v1.csv,accepted_poc031,Already accepted; retained as the bridge anchor
vap_age_acs,POC035,voting_age_population|age_distribution,acs5_2009..acs5_2024,B01001,Total population,product-vintage Census block group,"vap=B01001_007E+B01001_008E+B01001_009E+B01001_010E+B01001_011E+B01001_012E+B01001_013E+B01001_014E+B01001_015E+B01001_016E+B01001_017E+B01001_018E+B01001_019E+B01001_020E+B01001_021E+B01001_022E+B01001_023E+B01001_024E+B01001_025E+B01001_031E+B01001_032E+B01001_033E+B01001_034E+B01001_035E+B01001_036E+B01001_037E+B01001_038E+B01001_039E+B01001_040E+B01001_041E+B01001_042E+B01001_043E+B01001_044E+B01001_045E+B01001_046E+B01001_047E+B01001_048E+B01001_049E;age_18_29=B01001_007E+B01001_008E+B01001_009E+B01001_010E+B01001_011E+B01001_031E+B01001_032E+B01001_033E+B01001_034E+B01001_035E;age_30_44=B01001_012E+B01001_013E+B01001_014E+B01001_036E+B01001_037E+B01001_038E;age_45_64=B01001_015E+B01001_016E+B01001_017E+B01001_018E+B01001_019E+B01001_039E+B01001_040E+B01001_041E+B01001_042E+B01001_043E;age_65_plus=B01001_020E+B01001_021E+B01001_022E+B01001_023E+B01001_024E+B01001_025E+B01001_044E+B01001_045E+B01001_046E+B01001_047E+B01001_048E+B01001_049E",RSS of matching M cells per expression,vap|age_18_29|age_30_44|age_45_64|age_65_plus,exact_sum_of_published_age_sex_cells,stable 2009-2024 age-band bridge,candidate existing product-vintage ACS person support with subgroup-homogeneity limitation,exact release_date in acs5_products.csv,inherit legislative_population_partitions_v1.csv then apply release cutoff,inventory_frozen,VAP equals the four age bands; derive shares only after allocation
cvap_acs_2009,POC035,citizen_voting_age_population,cvap_2009,CVAP BlockGr line 1,Citizen population 18 years and over,2000 Census block group with documented 2009 geography exceptions,CVAP_EST where LNNUMBER=1,CVAP_MOE where LNNUMBER=1,cvap,direct_published_aggregate,stable CVAP line-1 bridge,candidate 2009 ACS person support subject to separate proof,2011-02-01,release before election and plan effective for election,inventory_frozen,The first release has only CVAP_EST/CVAP_MOE at block-group grain; do not infer missing CIT columns
cvap_acs_2010_2024,POC035,citizen_voting_age_population,cvap_2010..cvap_2024,CVAP BlockGr line 1,Citizen population 18 years and over,product-vintage Census block group,CVAP_EST where LNNUMBER=1,CVAP_MOE where LNNUMBER=1,cvap,direct_published_aggregate,stable CVAP line-1 bridge,candidate matching-vintage ACS person support subject to separate proof,exact release_date in cvap_products_v1.csv,release before election and plan effective for election,inventory_frozen,CIT_EST is total citizens of all ages and is not substituted for CVAP_EST
race_ethnicity_dec_1990,POC035,race_ethnicity,dec_1990_pl94,P004,Persons,1990 Census block,"hispanic=P004_0001;nh_white=P004_0002;nh_black=P004_0003;nh_aian=P004_0004;nh_asian_pacific=P004_0005;nh_other_multiracial=P004_0006",not_applicable_exact_decennial_count,hispanic|nh_white|nh_black|nh_aian|nh_asian_pacific|nh_other_multiracial,direct_published_aggregates,1990 other-race is bridged to other/multiracial but is a conceptual break,candidate category-specific fragment support if available else equal-area split-block allocation,1991-03-08 conservative latest statewide delivery bound,release before election and plan effective for election,inventory_frozen,1990 did not permit the 2000-style multiple-race response; the final bridge category is additive but not conceptually equivalent
race_ethnicity_dec_2000,POC035,race_ethnicity,dec_2000,PL002,Persons,2000 Census block,"hispanic=PL002002;nh_white=PL002005;nh_black=PL002006;nh_aian=PL002007;nh_asian_pacific=PL002008+PL002009;nh_other_multiracial=PL002010+PL002011",not_applicable_exact_decennial_count,hispanic|nh_white|nh_black|nh_aian|nh_asian_pacific|nh_other_multiracial,direct_selection_and_exact_sums,collapse Asian+NHPI and other+two-or-more to six-category bridge,candidate category-specific support else equal-area split-block allocation,2001-03-09,inherit legislative_population_partitions_v1.csv,inventory_frozen,Use published Hispanic and non-Hispanic aggregate cells; never sum overlapping race descendants
race_ethnicity_dec_2010,POC035,race_ethnicity,dec_2010,P2,Persons,2010 Census block,"hispanic=P0020002;nh_white=P0020005;nh_black=P0020006;nh_aian=P0020007;nh_asian_pacific=P0020008+P0020009;nh_other_multiracial=P0020010+P0020011",not_applicable_exact_decennial_count,hispanic|nh_white|nh_black|nh_aian|nh_asian_pacific|nh_other_multiracial,direct_selection_and_exact_sums,collapse Asian+NHPI and other+two-or-more to six-category bridge,candidate category-specific support else equal-area split-block allocation,2011-03-09,inherit legislative_population_partitions_v1.csv,inventory_frozen,Legacy-file field names retain four-digit cell suffixes
