product_id,estimate_year,period_start,period_end,release_date,release_date_status,source_geography_vintage,source_grain,estimate_field,moe_field,total_selector,csv_url,documentation_url,plan_applicability_policy,status,notes
cvap_2009,2009,2005-01-01,2009-12-31,2011-02-01,official release page,2000 with documented local exceptions,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2009/2009-cvap/CVAP_2005-2009_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2009-cvap.html,release before election and plan effective for election,inventory_frozen,Block-group file omits all-age CIT fields but includes direct total CVAP and MOE
cvap_2010,2010,2006-01-01,2010-12-31,2012-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2010/2010-cvap/CVAP_2006-2010_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2010-cvap.html,release before election and plan effective for election,inventory_frozen,First release with block-group CIT_EST and CIT_MOE; they are not CVAP
cvap_2011,2011,2007-01-01,2011-12-31,2013-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2011/2011-cvap/CVAP_2007-2011_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2011-cvap.html,release before election and plan effective for election,inventory_frozen,
cvap_2012,2012,2008-01-01,2012-12-31,2014-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2012/2012-cvap/CVAP_2008-2012_ACS_csv_files.zip,https://www.census.gov/data/datasets/2012/dec/rdo/2012-cvap.html,release before election and plan effective for election,inventory_frozen,
cvap_2013,2013,2009-01-01,2013-12-31,2015-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2013/2013-cvap/CVAP_2009-2013_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2013-cvap.html,release before election and plan effective for election,inventory_frozen,
cvap_2014,2014,2010-01-01,2014-12-31,2016-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2014/2014-cvap/CVAP_2010-2014_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2014-cvap.html,release before election and plan effective for election,inventory_frozen,
cvap_2015,2015,2011-01-01,2015-12-31,2017-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2015/2015-cvap/CVAP_2011-2015_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2011-2015-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2016,2016,2012-01-01,2016-12-31,2018-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2016/2016-cvap/CVAP_2012-2016_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2012-2016-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2017,2017,2013-01-01,2017-12-31,2019-02-20,conservative official archive timestamp,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2017/2017-cvap/CVAP_2013-2017_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap.2017.html,release before election and plan effective for election,inventory_frozen,Use conservative observed file timestamp until an original release page date is frozen
cvap_2018,2018,2014-01-01,2018-12-31,2020-01-31,official archive timestamp and Census page states February 2020,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2018/2018-cvap/CVAP_2014-2018_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap.2018.html,release before election and plan effective for election,inventory_frozen,
cvap_2019,2019,2015-01-01,2019-12-31,2021-02-01,official release page,2010,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2019/2019-cvap/CVAP_2015-2019_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2015-2019-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2020,2020,2016-01-01,2020-12-31,2022-03-17,official release page,2020,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2020/2020-cvap/CVAP_2016-2020_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2016-2020-CVAP.html,release before election and plan effective for election,inventory_frozen,Pandemic-delayed release
cvap_2021,2021,2017-01-01,2021-12-31,2023-02-01,official release page,2020,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2021/2021-cvap/CVAP_2017-2021_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2017-2021-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2022,2022,2018-01-01,2022-12-31,2024-01-23,official release page,2020,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2022/2022-cvap/CVAP_2018-2022_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2018-2022-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2023,2023,2019-01-01,2023-12-31,2025-01-30,official release page,2020,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2023/2023-cvap/CVAP_2019-2023_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap/2019-2023-CVAP.html,release before election and plan effective for election,inventory_frozen,
cvap_2024,2024,2020-01-01,2024-12-31,2026-01-30,official release page,2020,census_block_group,CVAP_EST,CVAP_MOE,LNNUMBER=1,https://www2.census.gov/programs-surveys/decennial/rdo/datasets/2024/2024-cvap/CVAP_2020-2024_ACS_csv_files.zip,https://www.census.gov/programs-surveys/decennial-census/about/voting-rights/cvap.2024.html,release before election and plan effective for election,inventory_frozen,Latest cutoff-eligible CVAP product for the 2026 election
