election_id,election_date,cycle_role,precinct_snapshot_id,precinct_status,house_regular_contest_scope,senate_regular_contest_scope,population_pairing_status,notes
pa_general_1990,1990-11-06,historical_training,pa_general_1990_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_1992,1992-11-03,historical_training,pa_general_1992_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_1994,1994-11-08,historical_training,pa_general_1994_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_1996,1996-11-05,historical_training,pa_general_1996_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_1998,1998-11-03,historical_training,pa_general_1998_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2000,2000-11-07,historical_training,pa_general_2000_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2002,2002-11-05,historical_training,pa_general_2002_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2004,2004-11-02,historical_training,pa_general_2004_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2006,2006-11-07,historical_training,pa_general_2006_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2008,2008-11-04,historical_training,pa_general_2008_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2010,2010-11-02,historical_training,pa_general_2010_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2012,2012-11-06,historical_training,pa_general_2012_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2014,2014-11-04,historical_training,pa_general_2014_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2016,2016-11-08,historical_training,pa_general_2016_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2018,2018-11-06,historical_training,pa_general_2018_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2020,2020-11-03,historical_training,pa_general_2020_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2022,2022-11-08,historical_training,pa_general_2022_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2024,2024-11-05,historical_training,pa_general_2024_precincts_tbd,research,all_house_districts,odd_numbered_senate_districts,research,Inventory contemporaneous general-election precincts
pa_general_2026,2026-11-03,current_prediction_target,pa_general_2026_precincts_tbd,research,all_house_districts,even_numbered_senate_districts,research,Freeze authoritative general-election snapshot and cutoff
