population_product_id,target_plan_reference_vintage,first_applicable_election,last_applicable_election
acs5_2009,2001,2002,2012
acs5_2009,2012,2014,2020
acs5_2009,2021,2022,2026
acs5_2010,2001,2002,2012
acs5_2010,2012,2014,2020
acs5_2010,2021,2022,2026
acs5_2011,2012,2014,2020
acs5_2011,2021,2022,2026
acs5_2012,2012,2014,2020
acs5_2012,2021,2022,2026
acs5_2013,2012,2014,2020
acs5_2013,2021,2022,2026
acs5_2014,2012,2014,2020
acs5_2014,2021,2022,2026
acs5_2015,2012,2014,2020
acs5_2015,2021,2022,2026
acs5_2016,2012,2014,2020
acs5_2016,2021,2022,2026
acs5_2017,2012,2014,2020
acs5_2017,2021,2022,2026
acs5_2018,2012,2014,2020
acs5_2018,2021,2022,2026
acs5_2019,2021,2022,2026
acs5_2020,2021,2022,2026
acs5_2021,2021,2022,2026
acs5_2022,2021,2022,2026
acs5_2023,2021,2022,2026
acs5_2024,2021,2022,2026
dec_1990,1991,1992,2000
dec_1990,2001,2002,2012
dec_1990,2012,2014,2020
dec_1990,2021,2022,2026
dec_2000,2001,2002,2012
dec_2000,2012,2014,2020
dec_2000,2021,2022,2026
dec_2010,2001,2002,2012
dec_2010,2012,2014,2020
dec_2010,2021,2022,2026
dec_2020,2021,2022,2026
