election_year,election_date,house_plan_id,senate_plan_id,house_regular_contest_scope,senate_regular_contest_scope
1992,1992-11-03,pa_house_1991_final,pa_senate_1991_final,all,odd
1994,1994-11-08,pa_house_1991_final,pa_senate_1991_final,all,even
1996,1996-11-05,pa_house_1991_final,pa_senate_1991_final,all,odd
1998,1998-11-03,pa_house_1991_final,pa_senate_1991_final,all,even
2000,2000-11-07,pa_house_1991_final,pa_senate_1991_final,all,odd
2002,2002-11-05,pa_house_2001_final,pa_senate_2001_final,all,even
2004,2004-11-02,pa_house_2001_final,pa_senate_2001_final,all,odd
2006,2006-11-07,pa_house_2001_final,pa_senate_2001_final,all,even
2008,2008-11-04,pa_house_2001_final,pa_senate_2001_final,all,odd
2010,2010-11-02,pa_house_2001_final,pa_senate_2001_final,all,even
2012,2012-11-06,pa_house_2001_final,pa_senate_2001_final,all,odd
2014,2014-11-04,pa_house_2012_revised_final,pa_senate_2012_revised_final,all,even
2016,2016-11-08,pa_house_2012_revised_final,pa_senate_2012_revised_final,all,odd
2018,2018-11-06,pa_house_2012_revised_final,pa_senate_2012_revised_final,all,even
2020,2020-11-03,pa_house_2012_revised_final,pa_senate_2012_revised_final,all,odd
2022,2022-11-08,pa_house_2021_final,pa_senate_2021_final,all,even
2024,2024-11-05,pa_house_2021_final,pa_senate_2021_final,all,odd
2026,2026-11-03,pa_house_2021_final,pa_senate_2021_final,all,even
