county_fips,county_name,resolution_status,authority_name,authority_url,boundary_source_id,boundary_source_url,producer,product,reference_vintage,effective_date,as_of_date,retrieval_timestamp,sha256,license_access,crs,schema_status,expected_precinct_count,house_assignment_status,senate_assignment_status,contest_eligibility_status,cutoff_status,reviewed_at,review_notes
001,Adams,unreviewed,Adams County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
003,Allegheny,unreviewed,Allegheny County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
005,Armstrong,unreviewed,Armstrong County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
007,Beaver,unreviewed,Beaver County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
009,Bedford,unreviewed,Bedford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
011,Berks,unreviewed,Berks County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
013,Blair,unreviewed,Blair County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
015,Bradford,unreviewed,Bradford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
017,Bucks,unreviewed,Bucks County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
019,Butler,unreviewed,Butler County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
021,Cambria,unreviewed,Cambria County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
023,Cameron,unreviewed,Cameron County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
025,Carbon,unreviewed,Carbon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
027,Centre,unreviewed,Centre County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
029,Chester,unreviewed,Chester County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
031,Clarion,unreviewed,Clarion County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
033,Clearfield,unreviewed,Clearfield County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
035,Clinton,unreviewed,Clinton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
037,Columbia,unreviewed,Columbia County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
039,Crawford,unreviewed,Crawford County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
041,Cumberland,unreviewed,Cumberland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending; 2021 LRC baseline is not the 2026 target
043,Dauphin,unreviewed,Dauphin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
045,Delaware,candidate,Delaware County Board of Elections,https://www.delcopa.gov/vote,delaware_2026_precinct_consolidation_resolution,https://www.delcopa.gov/sites/default/files/2026-02/2026-Precinct-Consolidation-Overview-and-Maps-2-19-2026.pdf,Delaware County Board of Elections and Delaware County GIS,2026 Precinct Consolidation Overview and Maps,2026 primary and later,2026-05-19,2026-02-19,2026-08-08T03:43:51+00:00,6afa431e13bb9f63bf2c3961a85712fce5ca2cf035df98d231e5cdd703264a2b,Public official county PDF; redistribution terms not stated,not published (PDF maps),profiled,383,unreviewed,unreviewed,unreviewed,pending,2026-08-07,Board enacted 45 net consolidations on 2026-01-29 for the 2026 primary; full machine-readable boundary layer and legislative assignments remain unresolved
047,Elk,unreviewed,Elk County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
049,Erie,unreviewed,Erie County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
051,Fayette,unreviewed,Fayette County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
053,Forest,unreviewed,Forest County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
055,Franklin,unreviewed,Franklin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
057,Fulton,unreviewed,Fulton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
059,Greene,unreviewed,Greene County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
061,Huntingdon,unreviewed,Huntingdon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
063,Indiana,unreviewed,Indiana County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
065,Jefferson,unreviewed,Jefferson County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
067,Juniata,unreviewed,Juniata County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
069,Lackawanna,unreviewed,Lackawanna County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
071,Lancaster,unreviewed,Lancaster County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
073,Lawrence,unreviewed,Lawrence County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
075,Lebanon,unreviewed,Lebanon County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
077,Lehigh,unreviewed,Lehigh County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
079,Luzerne,unreviewed,Luzerne County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
081,Lycoming,unreviewed,Lycoming County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
083,McKean,unreviewed,McKean County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
085,Mercer,unreviewed,Mercer County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
087,Mifflin,unreviewed,Mifflin County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
089,Monroe,unreviewed,Monroe County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
091,Montgomery,unreviewed,Montgomery County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
093,Montour,unreviewed,Montour County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
095,Northampton,unreviewed,Northampton County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
097,Northumberland,unreviewed,Northumberland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
099,Perry,unreviewed,Perry County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
101,Philadelphia,candidate,Philadelphia County Board of Elections,https://votes.phila.gov/resources-data/election-resources/political-maps/,phila_city_political_divisions_2026_08_07,https://services.arcgis.com/fLeGjb7u4uXqeF9q/ArcGIS/rest/services/Political_Divisions/FeatureServer/0/query,"City of Philadelphia, Philadelphia City Planning Commission",Political Divisions hosted feature layer snapshot,,,2026-08-07,2026-08-07T23:19:29.634849+00:00,1b847f76069e6dd8c0185e59c20e337fa4261aea7739694f24dffc80fcf442a6,Public use under City terms; as-is and self-reported boundary disclaimers,EPSG:3857,profiled,1703,unreviewed,unreviewed,unreviewed,pending,2026-08-07,Checksum-frozen current candidate; no published election-effective date; not yet the November 3 2026 target
103,Pike,unreviewed,Pike County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
105,Potter,unreviewed,Potter County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
107,Schuylkill,unreviewed,Schuylkill County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
109,Snyder,unreviewed,Snyder County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
111,Somerset,unreviewed,Somerset County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
113,Sullivan,unreviewed,Sullivan County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
115,Susquehanna,unreviewed,Susquehanna County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
117,Tioga,unreviewed,Tioga County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
119,Union,unreviewed,Union County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
121,Venango,unreviewed,Venango County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
123,Warren,unreviewed,Warren County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
125,Washington,unreviewed,Washington County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
127,Wayne,unreviewed,Wayne County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
129,Westmoreland,unreviewed,Westmoreland County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
131,Wyoming,unreviewed,Wyoming County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
133,York,unreviewed,York County Board of Elections,https://www.pa.gov/agencies/vote/contact-us/contact-your-election-officials,,,,,,,,,,,,unreviewed,,unreviewed,unreviewed,unreviewed,not_set,,County source review pending
