source_id,status,producer,product,reference_vintage,effective_vintage,coverage,url,sha256,license_access,crs,notes
census_2020_pa_blocks,confirmed,U.S. Census Bureau,2020 PL 94-171 TIGER Line PA tabulation blocks,2020,2020-01-01,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2020PL/STATE/42_PENNSYLVANIA/42/tl_2020_42_tabblock20.zip,f2afff2b2a84170a3cf16bca52137562828d2811133419f22981ec790b2fbebb,Public federal data; acknowledge Census Bureau,EPSG:4269,336985 PA rows and 5609 Cumberland rows verified 2026-08-06
census_2020_pa_pl,confirmed,U.S. Census Bureau,2020 Census State Redistricting Data PL 94-171 Summary File,2020-04-01,2020-04-01,Pennsylvania,https://www2.census.gov/programs-surveys/decennial/2020/data/01-Redistricting_File--PL_94-171/Pennsylvania/pa2020.pl.zip,2d33a7dab29c8dd5692bbde203d253e06eebbc44fcbaa96b1caa958d454026ae,Public federal data; cite Census Bureau,none,Block P0010001 totals 13002700 PA and 259469 Cumberland verified 2026-08-06
census_2010_pa_blocks,confirmed,U.S. Census Bureau,2010 TIGER Line Pennsylvania tabulation blocks,2010,2010 Census tabulation geography,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_42_tabblock10.zip,fc33d93eb53e71b0d61c3aa35d496a8a8b8d192933d68ebef206ccbaa9e19152,Public federal data; acknowledge Census Bureau,EPSG:4269,POC011 confirms 421545 unique valid block geometries and exact population key coverage
census_2010_pa_pl,confirmed,U.S. Census Bureau,2010 Census Redistricting Data PL 94-171 Summary File,2010-04-01,2010-04-01,Pennsylvania,https://www2.census.gov/census_2010/01-Redistricting_File--PL_94-171/Pennsylvania/pa2010.pl.zip,3cf2460ea17d1be087d9b12700e45962b164f6233f8c1071ddc67ab55392951a,Public federal data; cite Census Bureau,none,Released 2011-03-09; POC011 parses 421545 block P0010001 rows totaling 12702379
pa_lrc_2021_release_1b_geography,confirmed,Pennsylvania Legislative Reapportionment Commission,2021-10-05 LRC Data Release No. 1b Data Set 1 geography,2020,2021-10-05,Pennsylvania,https://www.redistricting.state.pa.us/resources/GISData/Census/2021/2021-DataSet1-WithoutPrisoner/2021%20LRC%20Data%20Release%201b%20-%20Geography.zip,14187001c627c6a16bf967415059408c4ef7007d366fd9105b5be30763250e3b,Public download; redistribution terms not stated,EPSG:4269,POC021 proves coverage of all 336985 Census parent blocks through 337039 corrected fragments and all 9178 fixed precincts; 53 split parents and no nearest assignments
census_2010_2020_block_relationship_pa,confirmed,U.S. Census Bureau,2010 to 2020 Census tabulation block relationship file,2010/2020,comparability support product,Pennsylvania,https://www2.census.gov/geo/docs/maps-data/data/rel2020/t10t20/TAB2010_TAB2020_ST42.zip,6e8ac323b98bf7259dac59ae7000c14fa72ce38207f77648d08645bbea29a323,Public federal data,none,POC011 profiles 464515 PA-source rows and 421542 source blocks; three omitted sources have zero population; intersection areas contain no population
census_2000_2010_block_relationship_pa,candidate,U.S. Census Bureau,2000 to 2010 Census tabulation block relationship file,2000/2010,tbd,Pennsylvania,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2010.html,,Public federal data,tbd,Use as topology/comparability evidence rather than automatic population weights
census_1990_2000_block_relationship_pa,candidate,U.S. Census Bureau,1990 to 2000 Census tabulation block relationship files,1990/2000,tbd,Pennsylvania counties,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2000.html,,Public federal data,tbd,County-organized legacy files require a tested acquisition and parsing path
census_1990_stf1_pa,candidate,U.S. Census Bureau,1990 Census STF 1,1990,1990,Pennsylvania,https://www2.census.gov/census_1990/1990STF1.html,,Public federal data,tbd,Confirm exact Middle Atlantic files table fields geometry and checksums
acs5_api,confirmed,U.S. Census Bureau,American Community Survey five-year detailed tables,2005-2009 through 2020-2024,varies,Pennsylvania,https://www.census.gov/data/developers/data-sets/acs-5year.html,,Public federal data and API metadata,census_block_group,POC014 inventories 16 products and 32 metadata checksums; B01003_001E estimate and B01003_001M MOE; 2009-2012 use Summary Files because API geography manifests omit block groups; data API currently requires a runtime key
