column_name,metric_family,unit,transformation,uncertainty
election_id,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
election_year,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
election_date,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
chamber,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
district_id,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
district_key,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
target_plan_id,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
target_plan_reference_vintage,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
regular_contest,election,boolean,true for every House row; Senate true only for the regular odd/even class,not_applicable
district_total_area_sq_km,area,square_kilometers,"EPSG:5070 area of the complete plan polygon, including water",not_applicable
district_area_source_id,area,provenance,documents the legislative-plan GIS area calculation,not_applicable
district_area_crs,area,provenance,documents the legislative-plan GIS area calculation,not_applicable
district_area_water_treatment,area,provenance,documents the legislative-plan GIS area calculation,not_applicable
total_population_estimate,total,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
total_population_moe,population,count,ACS 90% MOE when applicable; blank for decennial complete counts,interpret with population_moe_status
population_source_product_id,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_source_year,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_source_period_start,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_source_period_end,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_source_release_date,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_source_timing,identifier_or_provenance,text_or_flag,selected or copied from canonical mapping,not_applicable
population_moe_status,population,enum,declares whether total_population_moe is an ACS MOE,decennial count rows have no sampling MOE
education_bachelors_plus_estimate,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_bachelors_plus_moe,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_bachelors_plus_share,education,proportion_0_to_1,derived after district-level additive allocation,no ratio MOE reported
education_below_high_school_estimate,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_below_high_school_moe,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_below_high_school_share,education,proportion_0_to_1,derived after district-level additive allocation,no ratio MOE reported
education_high_school_estimate,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_high_school_moe,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_high_school_share,education,proportion_0_to_1,derived after district-level additive allocation,no ratio MOE reported
education_population_25_plus_estimate,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_population_25_plus_moe,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_some_college_associate_estimate,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_some_college_associate_moe,education,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
education_some_college_associate_share,education,proportion_0_to_1,derived after district-level additive allocation,no ratio MOE reported
employment_armed_forces_estimate,employment,allocated_count,direct aggregate or sum of mutually exclusive cells after allocation,90% ACS MOE; approx_moe uses RSS and omits covariance
