election_year,chamber,target_plan_id,metric_family,source_product_id,source_estimate_year,source_period_start,source_period_end,source_release_date,source_timing
1992,house,pa_house_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1992,house,pa_house_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1992,senate,pa_senate_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1992,senate,pa_senate_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1994,house,pa_house_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1994,house,pa_house_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1994,senate,pa_senate_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1994,senate,pa_senate_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1996,house,pa_house_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1996,house,pa_house_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1996,senate,pa_senate_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1996,senate,pa_senate_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1998,house,pa_house_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1998,house,pa_house_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
1998,senate,pa_senate_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
1998,senate,pa_senate_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
2000,house,pa_house_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
2000,house,pa_house_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
2000,senate,pa_senate_1991_final,socioeconomic,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product
2000,senate,pa_senate_1991_final,total_population,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product
2002,house,pa_house_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2002,house,pa_house_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2002,senate,pa_senate_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2002,senate,pa_senate_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2004,house,pa_house_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2004,house,pa_house_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2004,senate,pa_senate_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2004,senate,pa_senate_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2006,house,pa_house_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2006,house,pa_house_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2006,senate,pa_senate_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2006,senate,pa_senate_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2008,house,pa_house_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2008,house,pa_house_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2008,senate,pa_senate_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2008,senate,pa_senate_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2010,house,pa_house_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2010,house,pa_house_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2010,senate,pa_senate_2001_final,socioeconomic,dec_socio_2000_sf3,2000,1999-01-01,2000-04-01,2002-09-25,latest_cutoff_safe_product
2010,senate,pa_senate_2001_final,total_population,dec_2000,2000,2000-04-01,2000-04-01,2001-03-09,latest_cutoff_safe_product
2012,house,pa_house_2001_final,socioeconomic,acs5_2010,2010,2006-01-01,2010-12-31,2011-12-08,latest_cutoff_safe_product
2012,house,pa_house_2001_final,total_population,acs5_2010,2010,2006-01-01,2010-12-31,2011-12-08,latest_cutoff_safe_product
2012,senate,pa_senate_2001_final,socioeconomic,acs5_2010,2010,2006-01-01,2010-12-31,2011-12-08,latest_cutoff_safe_product
2012,senate,pa_senate_2001_final,total_population,acs5_2010,2010,2006-01-01,2010-12-31,2011-12-08,latest_cutoff_safe_product
2014,house,pa_house_2012_revised_final,socioeconomic,acs5_2012,2012,2008-01-01,2012-12-31,2013-12-17,latest_cutoff_safe_product
2014,house,pa_house_2012_revised_final,total_population,acs5_2012,2012,2008-01-01,2012-12-31,2013-12-17,latest_cutoff_safe_product
2014,senate,pa_senate_2012_revised_final,socioeconomic,acs5_2012,2012,2008-01-01,2012-12-31,2013-12-17,latest_cutoff_safe_product
2014,senate,pa_senate_2012_revised_final,total_population,acs5_2012,2012,2008-01-01,2012-12-31,2013-12-17,latest_cutoff_safe_product
2016,house,pa_house_2012_revised_final,socioeconomic,acs5_2014,2014,2010-01-01,2014-12-31,2015-12-03,latest_cutoff_safe_product
2016,house,pa_house_2012_revised_final,total_population,acs5_2014,2014,2010-01-01,2014-12-31,2015-12-03,latest_cutoff_safe_product
